time_bucket_length,location_bucket,mae,mape,mse,r2
1,h3_05,60.44,0.82,27251.86,0.9521
1,h3_06,43.77,0.89,14294.59,0.9529
1,h3_07,20.69,0.97,2749.22,0.9594
1,h3_08,10.03,0.77,534.61,0.9297
1,h3_09,7.56,0.72,299.91,0.9309
1,centroid,7.63,0.9,285.93,0.9278
2,h3_05,110.58,0.81,95995.4,0.957
2,h3_06,78.75,0.95,52505.07,0.9555
2,h3_07,36.56,0.94,11862.01,0.9515
2,h3_08,15.94,1.01,1620.5,0.9378
2,h3_09,11.9,0.84,982.81,0.9334
2,centroid,11.96,1.23,889.3,0.9314
4,h3_05,218.27,0.84,343895.19,0.9614
4,h3_06,154.36,0.86,222836.95,0.9508
4,h3_07,62.23,1.2,35953.63,0.9575
4,h3_08,24.06,1.05,4342.55,0.9501
4,h3_09,17.41,1.06,2618.09,0.946
4,centroid,17.49,0.92,2545.81,0.9401
6,h3_05,288.83,1.28,761539.89,0.9544
6,h3_06,190.18,1.09,337927.18,0.9611
6,h3_07,73.43,1.02,50723.03,0.9696
6,h3_08,30.86,1.51,7266.84,0.9539
6,h3_09,21.4,1.04,4392.3,0.9479
6,centroid,21.68,1.18,3981.74,0.9516
24,h3_05,1166.38,0.33,8070993.42,0.9609
24,h3_06,524.28,3.95,2281326.26,0.9723
24,h3_07,205.2,3.49,462949.59,0.9653
24,h3_08,66.14,2.2,44956.39,0.9643
24,h3_09,43.63,1.68,19396.07,0.9728
24,centroid,46.3,1.76,28829.59,0.9513
